base,target,flow,dim,flow_l1,target_l1,diff_l1
ConditionalAR_2,AR_1,MAF,10,0.993,1.023,1.456
ConditionalAR_2,AR_1,MAF,15,1.005,0.999,0.679
ConditionalAR_2,AR_1,MAF,20,0.983,0.962,0.654
ConditionalAR_2,AR_1,RealNVP,10,0.995,1.005,1.054
ConditionalAR_2,AR_1,RealNVP,15,0.994,1.0,1.257
ConditionalAR_2,AR_1,RealNVP,20,0.977,0.999,1.167
ConditionalAR_2,AR_2,MAF,10,1.0,0.9,1.351
ConditionalAR_2,AR_2,MAF,15,1.005,1.045,1.337
ConditionalAR_2,AR_2,MAF,20,0.982,0.996,1.045
ConditionalAR_2,AR_2,RealNVP,10,1.002,1.017,1.452
ConditionalAR_2,AR_2,RealNVP,15,0.998,0.97,1.062
ConditionalAR_2,AR_2,RealNVP,20,0.984,0.995,1.414
ConditionalAR_2,MA_1,MAF,10,0.999,1.002,0.441
ConditionalAR_2,MA_1,MAF,15,0.993,0.99,0.227
ConditionalAR_2,MA_1,MAF,20,0.922,0.917,0.302
ConditionalAR_2,MA_1,RealNVP,10,0.998,0.998,0.501
ConditionalAR_2,MA_1,RealNVP,15,1.005,1.006,0.394
ConditionalAR_2,MA_1,RealNVP,20,0.994,0.962,0.951
ConditionalAR_2,MA_2,MAF,10,0.996,0.998,0.45
ConditionalAR_2,MA_2,MAF,15,0.998,0.987,0.313
ConditionalAR_2,MA_2,MAF,20,1.034,0.975,0.632
ConditionalAR_2,MA_2,RealNVP,10,1.003,1.003,0.499
ConditionalAR_2,MA_2,RealNVP,15,0.988,1.002,1.272
ConditionalAR_2,MA_2,RealNVP,20,0.972,0.975,0.824
ConditionalMA_2,AR_1,MAF,10,0.999,1.006,1.431
ConditionalMA_2,AR_1,MAF,15,1.001,0.992,0.342
ConditionalMA_2,AR_1,MAF,20,0.025,1.092,1.093
ConditionalMA_2,AR_1,RealNVP,10,1.003,1.006,0.681
ConditionalMA_2,AR_1,RealNVP,15,0.033,0.956,0.937
ConditionalMA_2,AR_1,RealNVP,20,1266779.6,0.924,1266779.141
ConditionalMA_2,AR_2,MAF,10,1.004,0.953,1.326
ConditionalMA_2,AR_2,MAF,15,1.002,1.004,0.85
ConditionalMA_2,AR_2,MAF,20,0.984,0.949,1.375
ConditionalMA_2,AR_2,RealNVP,10,0.987,0.995,1.353
ConditionalMA_2,AR_2,RealNVP,15,0.98,0.933,1.75
ConditionalMA_2,AR_2,RealNVP,20,0.95,0.668,1.4
ConditionalMA_2,MA_1,MAF,10,1.005,1.004,0.194
ConditionalMA_2,MA_1,MAF,15,0.99,0.995,0.437
ConditionalMA_2,MA_1,MAF,20,1.032,1.025,0.561
ConditionalMA_2,MA_1,RealNVP,10,0.404,1.003,0.6
ConditionalMA_2,MA_1,RealNVP,15,0.979,0.991,0.737
ConditionalMA_2,MA_1,RealNVP,20,1.001,0.978,0.668
ConditionalMA_2,MA_2,MAF,10,1.003,1.001,0.189
ConditionalMA_2,MA_2,MAF,15,1.011,0.978,1.158
ConditionalMA_2,MA_2,MAF,20,1.017,1.057,1.022
ConditionalMA_2,MA_2,RealNVP,10,1.002,1.012,0.828
ConditionalMA_2,MA_2,RealNVP,15,0.972,0.987,0.93
ConditionalMA_2,MA_2,RealNVP,20,60.679,0.921,60.533
AR_2,AR_1,MAF,10,1.013,0.997,1.469
AR_2,AR_1,MAF,15,1.016,0.992,1.712
AR_2,AR_1,MAF,20,1.031,1.056,1.885
AR_2,AR_1,RealNVP,10,1.0,1.003,0.334
AR_2,AR_1,RealNVP,15,0.984,1.025,1.064
AR_2,AR_1,RealNVP,20,0.999,1.019,1.8
AR_2,AR_2,MAF,10,0.997,1.002,1.366
AR_2,AR_2,MAF,15,0.992,0.997,0.516
AR_2,AR_2,MAF,20,0.868,0.895,1.655
AR_2,AR_2,RealNVP,10,1.003,1.003,1.186
AR_2,AR_2,RealNVP,15,0.761,1.057,1.69
AR_2,AR_2,RealNVP,20,0.899,0.743,1.552
AR_2,MA_1,MAF,10,1.006,1.005,0.175
AR_2,MA_1,MAF,15,1.003,1.003,0.259
AR_2,MA_1,MAF,20,1.01,1.022,0.501
AR_2,MA_1,RealNVP,10,1.001,1.003,0.188
AR_2,MA_1,RealNVP,15,1.022,1.023,0.248
AR_2,MA_1,RealNVP,20,0.926,0.915,0.374
AR_2,MA_2,MAF,10,1.0,0.999,0.173
AR_2,MA_2,MAF,15,1.072,1.078,0.67
AR_2,MA_2,MAF,20,0.974,0.938,0.647
AR_2,MA_2,RealNVP,10,1.004,1.004,0.156
AR_2,MA_2,RealNVP,15,0.996,0.997,0.229
AR_2,MA_2,RealNVP,20,1.049,1.09,0.6
MA_2,AR_1,MAF,10,1.002,1.002,1.42
MA_2,AR_1,MAF,15,0.959,1.009,1.553
MA_2,AR_1,MAF,20,0.998,0.995,0.505
MA_2,AR_1,RealNVP,10,0.989,1.002,1.347
MA_2,AR_1,RealNVP,15,0.998,1.001,0.358
MA_2,AR_1,RealNVP,20,1.028,1.145,1.986
MA_2,AR_2,MAF,10,1.005,1.001,1.229
MA_2,AR_2,MAF,15,0.919,0.985,1.555
MA_2,AR_2,MAF,20,0.978,0.917,1.236
MA_2,AR_2,RealNVP,10,1.003,1.007,1.29
MA_2,AR_2,RealNVP,15,0.925,1.078,1.775
MA_2,AR_2,RealNVP,20,1.058,0.892,1.62
MA_2,MA_1,MAF,10,0.999,1.0,0.133
MA_2,MA_1,MAF,15,1.043,1.04,0.327
MA_2,MA_1,MAF,20,1.0,1.006,0.292
MA_2,MA_1,RealNVP,10,0.997,0.997,0.146
MA_2,MA_1,RealNVP,15,0.993,0.99,0.3
MA_2,MA_1,RealNVP,20,1.014,1.023,0.341
MA_2,MA_2,MAF,10,1.005,1.004,0.132
MA_2,MA_2,MAF,15,1.04,1.03,0.481
MA_2,MA_2,MAF,20,1.018,1.016,0.382
MA_2,MA_2,RealNVP,10,0.994,0.995,0.329
MA_2,MA_2,RealNVP,15,0.993,0.993,0.274
MA_2,MA_2,RealNVP,20,1.038,1.035,0.321
AR_1,AR_1,MAF,10,0.998,0.997,0.185
AR_1,AR_1,MAF,15,1.005,0.987,1.127
AR_1,AR_1,MAF,20,1.016,1.028,1.449
AR_1,AR_1,RealNVP,10,1.003,1.004,1.429
AR_1,AR_1,RealNVP,15,0.99,0.987,0.285
AR_1,AR_1,RealNVP,20,1.0,1.0,0.479
AR_1,AR_2,MAF,10,0.999,0.998,0.792
AR_1,AR_2,MAF,15,1.0,0.882,1.749
AR_1,AR_2,MAF,20,1.087,0.954,1.848
AR_1,AR_2,RealNVP,10,1.003,0.998,1.178
AR_1,AR_2,RealNVP,15,1.009,1.083,1.943
AR_1,AR_2,RealNVP,20,0.927,1.046,1.735
AR_1,MA_1,MAF,10,0.997,0.997,0.16
AR_1,MA_1,MAF,15,0.998,0.999,0.217
AR_1,MA_1,MAF,20,0.998,1.063,0.587
AR_1,MA_1,RealNVP,10,1.0,0.997,0.168
AR_1,MA_1,RealNVP,15,0.954,0.967,0.263
AR_1,MA_1,RealNVP,20,1.002,0.99,0.28
AR_1,MA_2,MAF,10,0.999,0.999,0.124
AR_1,MA_2,MAF,15,1.021,1.045,0.326
AR_1,MA_2,MAF,20,0.978,1.072,0.684
AR_1,MA_2,RealNVP,10,1.001,1.001,0.174
