,base,target,flow,dim,flow_l2,target_l2,diff,diff/target,loss
0,iid,AR_1,MAF,2,0.2804704954721062,0.2820828888809963,0.0100273491474022,0.0355475271370766,2.89
1,iid,AR_1,MAF,3,0.1433913445691622,0.1453209929389933,0.0348067241470692,0.2395161458997278,4.3
2,iid,AR_1,RealNVP,2,0.2743175011417757,0.2820007262614215,0.0144744787614197,0.0513278066809002,2.86
3,iid,AR_1,RealNVP,3,0.1427360089525873,0.1496531469291215,0.0141017292206509,0.0942294198953916,4.25
4,iid,AR_2,MAF,3,0.1443213696185998,0.1381630933929003,0.0344478362765853,0.2493273379354974,4.3
5,iid,AR_2,RealNVP,3,0.1399582646139233,0.1478116378720282,0.0205383106813596,0.1389492125047776,4.42
6,iid,MA_1,MAF,2,0.2833778890248092,0.2820691390024553,0.012635480752172,0.0447956866066869,2.84
7,iid,MA_1,MAF,3,0.1471671031635627,0.1478866740159967,0.0219903897452369,0.1486975746229727,4.32
8,iid,MA_1,RealNVP,2,0.2724327979828765,0.2752687165684267,0.0414972503980373,0.1507517850751552,2.85
9,iid,MA_1,RealNVP,3,0.1422047648776002,0.1484285777618648,0.0191844281094668,0.1292502319886527,4.3
10,iid,MA_2,MAF,3,0.1460789794062341,0.1412840773012475,0.0351023350244022,0.2484521659829836,4.33
11,iid,MA_2,RealNVP,3,0.1409277706744383,0.1490581165776832,0.0183715712679744,0.1232510626712493,4.39
12,AR_1,AR_1,MAF,2,0.2749449873570133,0.2761515811091489,0.0448843608805819,0.1625352304712729,2.93
13,AR_1,AR_1,MAF,3,0.1475738747755196,0.1486473921402889,0.020212218997746,0.1359742589945361,4.27
14,AR_1,AR_1,RealNVP,2,0.2748342010118718,0.2813281223289876,0.0170994589280714,0.0607811931011829,2.86
15,AR_1,AR_1,RealNVP,3,0.1432424970079191,0.149827292349984,0.0124468279999039,0.0830745040151239,4.35
16,AR_1,AR_2,MAF,3,0.1424079785722964,0.1309504565963178,0.0405564782551725,0.3097085669597651,4.36
17,AR_1,AR_2,RealNVP,3,0.1372575553716524,0.1397258160760619,0.0420626234326516,0.3010368778934464,4.31
18,AR_1,MA_1,MAF,2,0.2838096837599233,0.2801657668958488,0.0223450350588855,0.0797564788391591,2.84
19,AR_1,MA_1,MAF,3,0.1461889334496313,0.1440721248867602,0.0355768765160253,0.2469379593310544,4.3
20,AR_1,MA_1,RealNVP,2,0.2677115697385291,0.2722501079151908,0.0517586442302371,0.1901143203453222,2.94
21,AR_1,MA_1,RealNVP,3,0.1412519498277952,0.1479812604503332,0.0218080371076299,0.1473702618917032,4.38
22,AR_1,MA_2,MAF,3,0.1461583032271216,0.1362037207190574,0.0277831926513214,0.2039826262061436,4.42
23,AR_1,MA_2,RealNVP,3,0.1406448153687124,0.1371311708011119,0.0312223792683609,0.2276825836603135,4.38
24,AR_2,AR_1,MAF,3,0.1468217189431454,0.1461208800111041,0.0354997571098624,0.2429478737546933,4.45
25,AR_2,AR_1,RealNVP,3,0.1356548093744808,0.1497571476395855,0.0210837593892414,0.140786331213939,4.38
26,AR_2,AR_2,MAF,3,0.1442555080417483,0.1332124568697224,0.0347105994869811,0.2605657181214445,4.38
27,AR_2,AR_2,RealNVP,3,0.1401692481652955,0.1270814178881644,0.0562935545406585,0.4429723517107637,4.38
28,AR_2,MA_1,MAF,3,0.1476345555714421,0.145357440548438,0.0332694700275964,0.2288804061358655,4.38
29,AR_2,MA_1,RealNVP,3,0.130818689602295,0.140692314790191,0.0404373773331654,0.2874171015912855,4.35
30,AR_2,MA_2,MAF,3,0.1443344970466015,0.1393359964146057,0.0272455198706175,0.1955382713132238,4.31
31,AR_2,MA_2,RealNVP,3,0.1374040040434427,0.1422756037714454,0.0257588910543319,0.1810492478788671,4.34
32,ConditionalMA_1,AR_1,MAF,2,0.2700944354327013,0.2637755245687733,0.1275277382749504,0.4834707029146689,2.82
33,ConditionalMA_1,AR_1,MAF,3,0.1496621811036551,0.1497021400798888,0.0168577680165556,0.1126087309610903,4.24
34,ConditionalMA_1,AR_1,RealNVP,2,0.2548999494924274,0.2757756497755128,0.0845091229357688,0.306441569458946,2.85
35,ConditionalMA_1,AR_1,RealNVP,3,0.1440704327885651,0.1480170505701444,0.05033804604517,0.3400827529752396,4.31
36,ConditionalMA_1,AR_2,MAF,3,0.1518654416358407,0.1352260775567928,0.0645623556190342,0.4774401268270099,4.22
37,ConditionalMA_1,AR_2,RealNVP,3,0.1418844030532831,0.1398741132529511,0.0820671999676652,0.5867218605293549,4.27
38,ConditionalMA_1,MA_1,MAF,2,0.2829332823495204,0.2740355718229789,0.0247424144049929,0.0902890607974648,2.86
39,ConditionalMA_1,MA_1,MAF,3,0.1489902351246735,0.1497636344147176,0.0113748764780011,0.0759521930838195,4.24
40,ConditionalMA_1,MA_1,RealNVP,2,0.2788982176570118,0.2807124494494701,0.009405122108168,0.0335044709510148,2.83
41,ConditionalMA_1,MA_1,RealNVP,3,0.1128256868862176,0.1460709394770831,0.0369427865405245,0.2529098989352395,4.4
42,ConditionalMA_1,MA_2,MAF,3,0.1487765543133812,0.1475661763435737,0.0097500770957982,0.066072573928442,4.26
43,ConditionalMA_1,MA_2,RealNVP,3,0.1403957050399973,0.148616525009044,0.0177042403600421,0.1191269972095281,4.23
44,MA_1,AR_1,MAF,2,0.281241879916463,0.281642259909698,0.0138282851128128,0.0490987578257843,2.88
45,MA_1,AR_1,MAF,3,0.1468257483284019,0.1396720084869719,0.0530908811167866,0.3801111023740935,4.39
46,MA_1,AR_1,RealNVP,2,0.2695691431231742,0.2788089288837413,0.0405108780056318,0.1452997870901195,2.82
47,MA_1,AR_1,RealNVP,3,0.1373048105312661,0.1486453807073135,0.0247237380396423,0.1663269852180874,4.32
48,MA_1,AR_2,MAF,3,0.1437788412018184,0.1447282215194414,0.0353852799474513,0.2444946782041261,4.38
49,MA_1,AR_2,RealNVP,3,0.1391947264518732,0.133639872967722,0.0412022181780036,0.3083078220820755,4.48
50,MA_1,MA_1,MAF,2,0.2774171050724789,0.2742321279595407,0.0428842797912608,0.1563794881013643,2.87
51,MA_1,MA_1,MAF,3,0.1444857462340365,0.1401663496896555,0.0397319603912111,0.2834629030375857,4.26
52,MA_1,MA_1,RealNVP,2,0.2733992103181034,0.2820872437828571,0.0152240081691822,0.0539691478601609,2.91
53,MA_1,MA_1,RealNVP,3,0.1417614072787189,0.1495528333117974,0.0140451285107319,0.0939141586268031,4.34
54,MA_1,MA_2,MAF,3,0.1465346932256608,0.1419423441080748,0.0425890295832232,0.3000445698627886,4.39
55,MA_1,MA_2,RealNVP,3,0.139072510929768,0.1465309869221343,0.0181619564109451,0.1239461822542442,4.36
56,MA_2,AR_1,MAF,3,0.1484752126721616,0.1406332708707911,0.0506544895693361,0.3601885190871773,4.33
57,MA_2,AR_1,RealNVP,3,0.136277543484338,0.1479442894995246,0.0287921798825192,0.194615013394023,4.33
58,MA_2,AR_2,MAF,3,0.1430157265490547,0.1407856350493853,0.0428037059105163,0.3040346118799796,4.32
59,MA_2,AR_2,RealNVP,3,0.1292268161156468,0.1353001851296438,0.0376693193118559,0.278412917733715,4.36
60,MA_2,MA_1,MAF,3,0.147183326900609,0.1485668655353578,0.0243302078708682,0.163766044219852,4.36
61,MA_2,MA_1,RealNVP,3,0.1416122182290919,0.1489774313170033,0.0184732304390398,0.1240001943632079,4.39
62,MA_2,MA_2,MAF,3,0.1457025503353306,0.1397856093341785,0.0411691447903048,0.294516331018623,4.33
63,MA_2,MA_2,RealNVP,3,0.1327629201272272,0.1337562038439676,0.0287857954867681,0.2152109185182017,4.35
64,ConditionalMA_2,AR_1,MAF,3,0.152261771586278,0.148172521100073,0.0358222109494298,0.2417601501511614,4.25
65,ConditionalMA_2,AR_1,RealNVP,3,0.1453905675333304,0.149585450021354,0.0183742583406086,0.1228345292806594,4.2
66,ConditionalMA_2,AR_2,MAF,3,0.1535970891351277,0.147325812334588,0.0342051198198486,0.2321732986081644,4.33
67,ConditionalMA_2,AR_2,RealNVP,3,0.1456403448100661,0.0976669770546464,0.1126579139708031,1.1534903338696456,4.26
68,ConditionalMA_2,MA_1,MAF,3,0.1498214366448395,0.1451361014877041,0.0113740933929555,0.078368464333591,4.24
69,ConditionalMA_2,MA_1,RealNVP,3,0.1444423672583751,0.1462164638381625,0.0122856427130064,0.0840236618401918,4.3
70,ConditionalMA_2,MA_2,MAF,3,0.1464666552299313,0.1425061127329229,0.0133413046666457,0.09361917472024,4.29
71,ConditionalMA_2,MA_2,RealNVP,3,0.141066096254906,0.1349419795010495,0.016355887171461,0.1212068122309846,4.3
