,base,target,flow,dim,flow_l2,target_l2,diff,diff/target,loss
0,iid,AR_1,MAF,2,0.28,0.282,0.0100273491474022,0.04,2.89
1,iid,AR_1,MAF,3,0.143,0.145,0.0348067241470692,0.24,4.3
2,iid,AR_1,RealNVP,2,0.274,0.282,0.0144744787614197,0.05,2.86
3,iid,AR_1,RealNVP,3,0.143,0.15,0.0141017292206509,0.09,4.25
4,iid,AR_2,MAF,3,0.144,0.138,0.0344478362765853,0.25,4.3
5,iid,AR_2,RealNVP,3,0.14,0.148,0.0205383106813596,0.14,4.42
6,iid,MA_1,MAF,2,0.283,0.282,0.012635480752172,0.04,2.84
7,iid,MA_1,MAF,3,0.147,0.148,0.0219903897452369,0.15,4.32
8,iid,MA_1,RealNVP,2,0.272,0.275,0.0414972503980373,0.15,2.85
9,iid,MA_1,RealNVP,3,0.142,0.148,0.0191844281094668,0.13,4.3
10,iid,MA_2,MAF,3,0.146,0.141,0.0351023350244022,0.25,4.33
11,iid,MA_2,RealNVP,3,0.141,0.149,0.0183715712679744,0.12,4.39
12,AR_1,AR_1,MAF,2,0.275,0.276,0.0448843608805819,0.16,2.93
13,AR_1,AR_1,MAF,3,0.148,0.149,0.020212218997746,0.14,4.27
14,AR_1,AR_1,RealNVP,2,0.275,0.281,0.0170994589280714,0.06,2.86
15,AR_1,AR_1,RealNVP,3,0.143,0.15,0.0124468279999039,0.08,4.35
16,AR_1,AR_2,MAF,3,0.142,0.131,0.0405564782551725,0.31,4.36
17,AR_1,AR_2,RealNVP,3,0.137,0.14,0.0420626234326516,0.3,4.31
18,AR_1,MA_1,MAF,2,0.284,0.28,0.0223450350588855,0.08,2.84
19,AR_1,MA_1,MAF,3,0.146,0.144,0.0355768765160253,0.25,4.3
20,AR_1,MA_1,RealNVP,2,0.268,0.272,0.0517586442302371,0.19,2.94
21,AR_1,MA_1,RealNVP,3,0.141,0.148,0.0218080371076299,0.15,4.38
22,AR_1,MA_2,MAF,3,0.146,0.136,0.0277831926513214,0.2,4.42
23,AR_1,MA_2,RealNVP,3,0.141,0.137,0.0312223792683609,0.23,4.38
24,AR_2,AR_1,MAF,3,0.147,0.146,0.0354997571098624,0.24,4.45
25,AR_2,AR_1,RealNVP,3,0.136,0.15,0.0210837593892414,0.14,4.38
26,AR_2,AR_2,MAF,3,0.144,0.133,0.0347105994869811,0.26,4.38
27,AR_2,AR_2,RealNVP,3,0.14,0.127,0.0562935545406585,0.44,4.38
28,AR_2,MA_1,MAF,3,0.148,0.145,0.0332694700275964,0.23,4.38
29,AR_2,MA_1,RealNVP,3,0.131,0.141,0.0404373773331654,0.29,4.35
30,AR_2,MA_2,MAF,3,0.144,0.139,0.0272455198706175,0.2,4.31
31,AR_2,MA_2,RealNVP,3,0.137,0.142,0.0257588910543319,0.18,4.34
32,ConditionalMA_1,AR_1,MAF,2,0.27,0.264,0.1275277382749504,0.48,2.82
33,ConditionalMA_1,AR_1,MAF,3,0.15,0.15,0.0168577680165556,0.11,4.24
34,ConditionalMA_1,AR_1,RealNVP,2,0.255,0.276,0.0845091229357688,0.31,2.85
35,ConditionalMA_1,AR_1,RealNVP,3,0.144,0.148,0.05033804604517,0.34,4.31
36,ConditionalMA_1,AR_2,MAF,3,0.152,0.135,0.0645623556190342,0.48,4.22
37,ConditionalMA_1,AR_2,RealNVP,3,0.142,0.14,0.0820671999676652,0.59,4.27
38,ConditionalMA_1,MA_1,MAF,2,0.283,0.274,0.0247424144049929,0.09,2.86
39,ConditionalMA_1,MA_1,MAF,3,0.149,0.15,0.0113748764780011,0.08,4.24
40,ConditionalMA_1,MA_1,RealNVP,2,0.279,0.281,0.009405122108168,0.03,2.83
41,ConditionalMA_1,MA_1,RealNVP,3,0.113,0.146,0.0369427865405245,0.25,4.4
42,ConditionalMA_1,MA_2,MAF,3,0.149,0.148,0.0097500770957982,0.07,4.26
43,ConditionalMA_1,MA_2,RealNVP,3,0.14,0.149,0.0177042403600421,0.12,4.23
44,MA_1,AR_1,MAF,2,0.281,0.282,0.0138282851128128,0.05,2.88
45,MA_1,AR_1,MAF,3,0.147,0.14,0.0530908811167866,0.38,4.39
46,MA_1,AR_1,RealNVP,2,0.27,0.279,0.0405108780056318,0.15,2.82
47,MA_1,AR_1,RealNVP,3,0.137,0.149,0.0247237380396423,0.17,4.32
48,MA_1,AR_2,MAF,3,0.144,0.145,0.0353852799474513,0.24,4.38
49,MA_1,AR_2,RealNVP,3,0.139,0.134,0.0412022181780036,0.31,4.48
50,MA_1,MA_1,MAF,2,0.277,0.274,0.0428842797912608,0.16,2.87
51,MA_1,MA_1,MAF,3,0.144,0.14,0.0397319603912111,0.28,4.26
52,MA_1,MA_1,RealNVP,2,0.273,0.282,0.0152240081691822,0.05,2.91
53,MA_1,MA_1,RealNVP,3,0.142,0.15,0.0140451285107319,0.09,4.34
54,MA_1,MA_2,MAF,3,0.147,0.142,0.0425890295832232,0.3,4.39
55,MA_1,MA_2,RealNVP,3,0.139,0.147,0.0181619564109451,0.12,4.36
56,MA_2,AR_1,MAF,3,0.148,0.141,0.0506544895693361,0.36,4.33
57,MA_2,AR_1,RealNVP,3,0.136,0.148,0.0287921798825192,0.19,4.33
58,MA_2,AR_2,MAF,3,0.143,0.141,0.0428037059105163,0.3,4.32
59,MA_2,AR_2,RealNVP,3,0.129,0.135,0.0376693193118559,0.28,4.36
60,MA_2,MA_1,MAF,3,0.147,0.149,0.0243302078708682,0.16,4.36
61,MA_2,MA_1,RealNVP,3,0.142,0.149,0.0184732304390398,0.12,4.39
62,MA_2,MA_2,MAF,3,0.146,0.14,0.0411691447903048,0.29,4.33
63,MA_2,MA_2,RealNVP,3,0.133,0.134,0.0287857954867681,0.22,4.35
64,ConditionalMA_2,AR_1,MAF,3,0.152,0.148,0.0358222109494298,0.24,4.25
65,ConditionalMA_2,AR_1,RealNVP,3,0.145,0.15,0.0183742583406086,0.12,4.2
66,ConditionalMA_2,AR_2,MAF,3,0.154,0.147,0.0342051198198486,0.23,4.33
67,ConditionalMA_2,AR_2,RealNVP,3,0.146,0.098,0.1126579139708031,1.15,4.26
68,ConditionalMA_2,MA_1,MAF,3,0.15,0.145,0.0113740933929555,0.08,4.24
69,ConditionalMA_2,MA_1,RealNVP,3,0.144,0.146,0.0122856427130064,0.08,4.3
70,ConditionalMA_2,MA_2,MAF,3,0.146,0.143,0.0133413046666457,0.09,4.29
71,ConditionalMA_2,MA_2,RealNVP,3,0.141,0.135,0.016355887171461,0.12,4.3
