base,target,flow,dim,flow_l1,target_l1,diff_l1
ConditionalAR_2,AR_1,MAF,10,0.998,1.005,1.448
ConditionalAR_2,AR_1,MAF,15,1.001,0.991,0.673
ConditionalAR_2,AR_1,MAF,20,0.983,0.959,0.62
ConditionalAR_2,AR_1,RealNVP,10,1.004,1.001,1.086
ConditionalAR_2,AR_1,RealNVP,15,0.989,1.037,1.274
ConditionalAR_2,AR_1,RealNVP,20,0.99,1.013,1.204
ConditionalAR_2,AR_2,MAF,10,1.005,2.724,3.316
ConditionalAR_2,AR_2,MAF,15,0.979,0.751,1.45
ConditionalAR_2,AR_2,MAF,20,1.015,0.945,1.352
ConditionalAR_2,AR_2,RealNVP,10,1.009,1.003,1.25
ConditionalAR_2,AR_2,RealNVP,15,1.005,2.502,3.359
ConditionalAR_2,AR_2,RealNVP,20,0.921,0.996,1.537
ConditionalAR_2,MA_1,MAF,10,0.998,0.998,0.282
ConditionalAR_2,MA_1,MAF,15,0.995,0.991,0.857
ConditionalAR_2,MA_1,MAF,20,0.983,1.058,1.448
ConditionalAR_2,MA_1,RealNVP,10,0.997,0.997,0.393
ConditionalAR_2,MA_1,RealNVP,15,1.013,1.011,0.767
ConditionalAR_2,MA_1,RealNVP,20,1.021,1.064,0.505
ConditionalAR_2,MA_2,MAF,10,0.998,0.993,0.744
ConditionalAR_2,MA_2,MAF,15,1.004,1.006,0.394
ConditionalAR_2,MA_2,MAF,20,0.96,0.963,0.773
ConditionalAR_2,MA_2,RealNVP,10,1.002,0.995,0.799
ConditionalAR_2,MA_2,RealNVP,15,0.993,0.983,0.564
ConditionalAR_2,MA_2,RealNVP,20,1.001,1.008,0.53
ConditionalMA_2,AR_1,MAF,10,0.997,1.001,0.533
ConditionalMA_2,AR_1,MAF,15,1.022,1.021,1.337
ConditionalMA_2,AR_1,MAF,20,1.049,1.029,0.893
ConditionalMA_2,AR_1,RealNVP,10,1.004,0.983,1.147
ConditionalMA_2,AR_1,RealNVP,15,0.976,0.959,1.323
ConditionalMA_2,AR_1,RealNVP,20,1.006,1.015,0.912
ConditionalMA_2,AR_2,MAF,10,1.0,1.0,0.828
ConditionalMA_2,AR_2,MAF,15,1.01,0.995,0.982
ConditionalMA_2,AR_2,MAF,20,0.988,0.902,1.585
ConditionalMA_2,AR_2,RealNVP,10,1.003,1.0,0.499
ConditionalMA_2,AR_2,RealNVP,15,0.999,1.001,0.783
ConditionalMA_2,AR_2,RealNVP,20,1.005,0.955,1.223
ConditionalMA_2,MA_1,MAF,10,0.997,1.001,0.25
ConditionalMA_2,MA_1,MAF,15,1.009,1.013,0.452
ConditionalMA_2,MA_1,MAF,20,0.967,1.023,0.694
ConditionalMA_2,MA_1,RealNVP,10,0.998,0.998,0.326
ConditionalMA_2,MA_1,RealNVP,15,0.999,0.957,0.985
ConditionalMA_2,MA_1,RealNVP,20,0.992,0.995,1.326
ConditionalMA_2,MA_2,MAF,10,0.998,0.999,0.213
ConditionalMA_2,MA_2,MAF,15,0.978,0.977,0.27
ConditionalMA_2,MA_2,MAF,20,1.014,1.049,0.52
ConditionalMA_2,MA_2,RealNVP,10,0.989,0.978,0.524
ConditionalMA_2,MA_2,RealNVP,15,0.997,0.979,1.488
ConditionalMA_2,MA_2,RealNVP,20,0.941,0.911,0.632
AR_2,AR_1,MAF,10,0.997,1.005,1.102
